════════════════════════════════════════════════════════
  notorch — JANUS 15M base training
  DIM=320 L=8 H=5 HD=64 FFN=1024 CTX=128 V=4096 RRPRAM_R=64
  Triple attn (MHA + RRPRAM-LR + Janus Echo), 1/3 blend, single W
  Chuck, 15000 steps, lr=6.0e-04 cosine, warmup 1500
════════════════════════════════════════════════════════
train: 8744739 tokens, val: 460249 tokens
model: 16291136 params (62.15 MB fp32)
karpathy: 0.220 epochs over 15000 steps (anti-chinchilla)

training...
─────────────────────────────────────────────────────────
  step     1/15000 | train 8.3453 | best 8.3453 | lr 6.00e-05 | 3.3s (eta 827m)
  step    50/15000 | train 7.5070 | best 7.0666 | lr 7.76e-05 | 129.6s (eta 646m)
  step   100/15000 | train 7.2755 | best 6.5958 | lr 9.56e-05 | 253.5s (eta 630m)
  step   150/15000 | train 6.7253 | best 6.4143 | lr 1.14e-04 | 379.1s (eta 625m)
  step   200/15000 | train 7.0310 | best 6.4143 | lr 1.32e-04 | 503.7s (eta 621m)
  step   250/15000 | train 6.8272 | best 6.1931 | lr 1.50e-04 | 619.2s (eta 609m)
  step   300/15000 | train 6.7299 | best 6.1931 | lr 1.68e-04 | 731.3s (eta 597m)
  step   350/15000 | train 6.5813 | best 6.1931 | lr 1.86e-04 | 843.6s (eta 589m)
  step   400/15000 | train 6.4416 | best 6.0350 | lr 2.04e-04 | 956.5s (eta 582m)
  step   450/15000 | train 7.1901 | best 6.0013 | lr 2.22e-04 | 1069.0s (eta 576m)
  step   500/15000 | train 6.5707 | best 5.9261 | lr 2.40e-04 | 1180.8s (eta 571m)
  ──── eval step 500 | val 6.4380
  step   550/15000 | train 6.6730 | best 5.8909 | lr 2.58e-04 | 1314.6s (eta 576m)
  step   600/15000 | train 6.2923 | best 5.7368 | lr 2.76e-04 | 1426.9s (eta 571m)
  step   650/15000 | train 6.4080 | best 5.7368 | lr 2.94e-04 | 1539.7s (eta 567m)
  step   700/15000 | train 6.6411 | best 5.7368 | lr 3.12e-04 | 1651.8s (eta 562m)
  step   750/15000 | train 6.4735 | best 5.7368 | lr 3.30e-04 | 1765.4s (eta 559m)
  step   800/15000 | train 6.8372 | best 5.7368 | lr 3.48e-04 | 1877.7s (eta 555m)
  step   850/15000 | train 6.5407 | best 5.5601 | lr 3.66e-04 | 1990.2s (eta 552m)
  step   900/15000 | train 6.4171 | best 5.5601 | lr 3.84e-04 | 2102.7s (eta 549m)
  step   950/15000 | train 6.2023 | best 5.5601 | lr 4.02e-04 | 2216.1s (eta 546m)
  step  1000/15000 | train 6.2621 | best 5.5601 | lr 4.20e-04 | 2328.9s (eta 543m)
  ──── eval step 1000 | val 6.1973
  step  1050/15000 | train 6.4600 | best 5.5601 | lr 4.38e-04 | 2456.7s (eta 544m)
  step  1100/15000 | train 6.2129 | best 5.5601 | lr 4.56e-04 | 2569.2s (eta 541m)
  step  1150/15000 | train 6.0385 | best 5.4709 | lr 4.74e-04 | 2681.5s (eta 538m)
  step  1200/15000 | train 6.5252 | best 5.3952 | lr 4.92e-04 | 2794.5s (eta 536m)
  step  1250/15000 | train 5.9906 | best 5.3952 | lr 5.10e-04 | 2906.6s (eta 533m)
  step  1300/15000 | train 6.3271 | best 5.3952 | lr 5.28e-04 | 3019.7s (eta 530m)
  step  1350/15000 | train 6.2035 | best 5.3952 | lr 5.46e-04 | 3131.7s (eta 528m)
  step  1400/15000 | train 5.7934 | best 5.3952 | lr 5.64e-04 | 3244.9s (eta 525m)
  step  1450/15000 | train 6.0475 | best 5.3952 | lr 5.82e-04 | 3356.9s (eta 523m)
  step  1500/15000 | train 6.1818 | best 5.3952 | lr 6.00e-04 | 3470.3s (eta 521m)
  ──── eval step 1500 | val 6.0338
  step  1550/15000 | train 6.2088 | best 5.3952 | lr 6.00e-04 | 3599.6s (eta 521m)
  step  1600/15000 | train 6.2773 | best 4.8836 | lr 6.00e-04 | 3712.9s (eta 518m)
  step  1650/15000 | train 5.7322 | best 4.8836 | lr 6.00e-04 | 3825.5s (eta 516m)
  step  1700/15000 | train 5.9426 | best 4.8836 | lr 6.00e-04 | 3938.4s (eta 514m)
  step  1750/15000 | train 6.1714 | best 4.8836 | lr 6.00e-04 | 4050.4s (eta 511m)
  step  1800/15000 | train 6.3192 | best 4.8836 | lr 5.99e-04 | 4163.3s (eta 509m)
  step  1850/15000 | train 6.1046 | best 4.8836 | lr 5.99e-04 | 4275.5s (eta 507m)
